File_ID,Province,Lender,Refi_Type,Professional,Disbursement,Date_Received,Maturity_Date,Date_Funded,Delay_Reason,Funds_Confirmed
FCT-700000,NB,ScotiaBank,Internal,Smith & Co,687474,2025-04-09,2025-04-30,2025-04-25,None,Yes
FCT-700001,BC,NBC,Internal,West Coast Legal,492403,2025-04-15,2025-05-05,2025-04-27,None,Yes
FCT-700002,QC,ScotiaBank,Internal,Maitre Cote,565712,2025-08-31,2025-09-17,2025-09-13,None,Yes
FCT-700003,NB,BMO,Internal,Maritime Legal,375993,2025-10-01,2025-10-22,2025-10-15,None,Yes
FCT-700004,QC,BMO,Internal,Maitre Cote,222602,2025-04-25,2025-05-11,2025-05-11,None,Yes
FCT-700005,ON,TD,Internal,Ontario Title Law,194095,2025-02-02,2025-02-07,2025-02-17,None,Yes
FCT-700006,QC,ScotiaBank,External,Maitre Tremblay,683136,2025-08-04,2025-08-21,2025-08-27,External: Payout Delay,Yes
FCT-700007,QC,BMO,External,Maitre Tremblay,721075,2025-02-26,2025-03-11,2025-03-21,External: Payout Delay,Yes
FCT-700008,QC,NBC,Internal,Maitre Belanger,178419,2025-08-16,2025-09-06,2025-09-02,None,Yes
FCT-700009,ON,NBC,Internal,West Coast Legal,225701,2025-10-16,2025-11-05,2025-11-01,None,Yes
FCT-700010,BC,BMO,Internal,West Coast Legal,418342,2025-07-07,2025-07-17,2025-07-20,None,Yes
FCT-700011,ON,ScotiaBank,Internal,West Coast Legal,542928,2025-12-06,2025-12-15,2025-12-20,None,Yes
FCT-700012,NS,TD,Internal,West Coast Legal,281049,2026-01-08,2026-01-21,2026-01-20,None,Yes
FCT-700013,ON,NBC,Internal,Ontario Title Law,667575,2026-01-23,2026-02-04,2026-02-06,None,Yes
FCT-700014,NS,TD,External,Smith & Co,170207,2025-09-23,2025-09-30,2025-10-15,External: Payout Delay,Yes
FCT-700015,QC,BMO,External,Maitre Lavoie,612590,2025-06-02,2025-06-17,2025-06-26,External: Payout Delay,Yes
FCT-700016,AB,NBC,Internal,Smith & Co,444851,2025-04-21,2025-05-03,2025-05-07,None,Yes
FCT-700017,ON,ScotiaBank,Internal,Ontario Title Law,384147,2025-03-27,2025-04-13,2025-04-11,None,Yes
FCT-700018,ON,NBC,Internal,Ontario Title Law,151159,2025-03-22,2025-04-03,2025-04-03,None,Yes
FCT-700019,ON,TD,Internal,West Coast Legal,362121,2025-04-12,2025-04-22,2025-04-24,None,Yes
FCT-700020,ON,TD,External,Smith & Co,451496,2025-02-27,2025-03-05,2025-03-23,External: Payout Delay,Yes
FCT-700021,NS,TD,Internal,Ontario Title Law,159274,2025-06-16,2025-06-29,2025-07-03,None,Yes
FCT-700022,ON,RBC,External,West Coast Legal,354669,2025-04-11,2025-04-16,2025-04-30,External: Payout Delay,Yes
FCT-700023,QC,TD,Internal,Maitre Tremblay,296647,2025-11-27,2025-12-04,2025-12-09,None,Yes
FCT-700024,BC,NBC,External,West Coast Legal,190187,2025-07-19,2025-08-03,2025-08-11,External: Payout Delay,Yes
FCT-700025,QC,NBC,External,Maitre Lavoie,562316,2025-05-19,2025-05-30,2025-06-07,External: Payout Delay,Yes
FCT-700026,AB,RBC,External,West Coast Legal,197056,2026-01-20,2026-02-08,2026-02-11,External: Payout Delay,Yes
FCT-700027,QC,RBC,Internal,Maitre Lavoie,572459,2026-02-02,2026-02-20,2026-02-16,None,Yes
FCT-700028,NB,NBC,Internal,Smith & Co,177272,2025-10-27,2025-11-13,2025-11-08,None,Yes
FCT-700029,ON,BMO,Internal,Maritime Legal,700046,2025-01-03,2025-01-11,2025-01-19,None,Yes
FCT-700030,NB,Fairstone,Internal,Ontario Title Law,219943,2025-12-21,2025-12-26,2025-12-24,None (Pre-scheduled),Yes
FCT-700031,ON,NBC,Internal,Ontario Title Law,414593,2025-01-02,2025-01-17,2025-01-14,None,Yes
FCT-700032,BC,BMO,Internal,Ontario Title Law,381747,2025-03-06,2025-03-15,2025-03-22,None,Yes
FCT-700033,NB,NBC,Internal,Maritime Legal,582962,2025-08-15,2025-08-20,2025-08-30,None,Yes
FCT-700034,QC,NBC,Internal,Maitre Cote,288204,2025-05-12,2025-05-27,2025-05-25,None,Yes
FCT-700035,ON,RBC,Internal,Smith & Co,154298,2025-06-16,2025-06-23,2025-06-28,None,Yes
FCT-700036,ON,BMO,Internal,Maritime Legal,246866,2025-02-24,2025-03-12,2025-03-11,None,Yes
FCT-700037,QC,TD,External,Maitre Tremblay,218865,2025-01-22,2025-02-04,2025-02-10,External: Payout Delay,Yes
FCT-700038,QC,RBC,External,Maitre Tremblay,209433,2025-11-21,2025-11-29,2025-12-15,External: Payout Delay,No - Bank Dispute
FCT-700039,NB,Fairstone,Internal,Ontario Title Law,383920,2025-06-14,2025-06-24,2025-06-16,None (Pre-scheduled),Yes
FCT-700040,QC,RBC,Internal,Maitre Tremblay,227463,2025-03-24,2025-04-09,2025-04-14,Lender: Missing Docs,Yes
FCT-700041,QC,NBC,Internal,Maitre Tremblay,154692,2025-02-20,2025-03-12,2025-03-07,None,Yes
FCT-700042,NB,NBC,External,West Coast Legal,364911,2025-04-22,2025-05-10,2025-05-14,External: Payout Delay,Yes
